,0,1,2,3,4,5,6,7,8,9
s196,s247,s3215,s1233,s3789,s3649,s4879,s6194,s1608,s901,s4583
s197,s1566,s1561,s4658,s6424,s3883,s7462,s1409,s6805,s2195,s4014
s198,s1025,s5454,s7860,s7369,s8785,s692,s7288,s8621,s4845,s6795
s199,s5600,s1123,s2002,s2329,s6597,s6085,s4428,s832,s8025,s7066
s200,s749,s2887,s145,s6258,s3130,s1023,s1006,s7332,s662,s3992
s201,s6071,s7463,s7160,s1378,s8803,s5544,s4566,s5604,s2061,s283
s202,s6708,s6319,s5104,s6862,s3861,s5391,s2823,s8521,s6545,s2588
s203,s3533,s7734,s8154,s5719,s3922,s3465,s3321,s1087,s2581,s98
s206,s4835,s2267,s789,s314,s3493,s3494,s3517,s6205,s5596,s7186
s208,s3032,s7322,s7087,s3854,s6052,s4556,s8080,s6866,s4554,s6633
s209,s8232,s8369,s2852,s5753,s1243,s3788,s2210,s5299,s167,s7203
s210,s3135,s3377,s5440,s1349,s4583,s3197,s3009,s216,s217,s8376
s211,s6947,s5992,s2579,s7999,s8338,s2165,s1810,s4559,s2985,s1878
s212,s5082,s5455,s4010,s4976,s1567,s533,s7985,s1784,s5691,s494
s213,s3353,s6291,s6420,s2476,s8364,s4733,s612,s3017,s1677,s8085
s214,s2141,s5110,s1348,s468,s1096,s6044,s6263,s3576,s2171,s5237
s215,s472,s1998,s6022,s88,s3852,s936,s5056,s8613,s3525,s7778
s216,s6975,s6552,s6543,s2364,s3224,s5461,s5298,s6547,s2489,s8753
s217,s8613,s719,s8698,s4290,s1405,s6270,s6961,s6915,s7927,s4452
s219,s383,s5323,s8477,s6479,s5382,s3317,s221,s5947,s2027,s3285
s220,s3349,s5411,s8256,s3537,s2959,s2324,s6672,s4670,s2799,s4289
s221,s888,s7151,s1047,s6726,s2601,s3049,s1397,s219,s5316,s1799
s222,s6348,s6470,s6800,s7665,s6503,s662,s5565,s5193,s3413,s379
s223,s5482,s8508,s1919,s1878,s2016,s6174,s5325,s4130,s2837,s3904
s224,s921,s4214,s7788,s8339,s32,s6146,s7731,s3922,s4196,s4393
s225,s497,s2705,s1512,s5110,s765,s3546,s7983,s7143,s7402,s1334
s226,s3719,s1795,s5513,s7927,s6149,s8014,s5247,s900,s506,s8758
s227,s4071,s972,s3274,s2537,s1734,s5052,s443,s7766,s3056,s1462
s228,s4170,s6085,s4197,s1063,s8521,s1512,s2635,s4078,s1023,s4705
s229,s6671,s3103,s8078,s7268,s7202,s6326,s1890,s6760,s7730,s5312
s230,s4820,s3864,s1313,s7505,s6654,s3819,s4919,s4060,s5958,s6745
s231,s4411,s5105,s6036,s1123,s4788,s8703,s3767,s5377,s8266,s713
s232,s6654,s3399,s3844,s6738,s5440,s3741,s7547,s4017,s5660,s344
s233,s7124,s1698,s8036,s1012,s888,s8748,s2924,s3197,s403,s104
s234,s8012,s8473,s398,s1962,s3349,s6996,s5046,s6949,s2560,s6372
s235,s287,s3540,s5167,s6405,s5145,s1170,s154,s5830,s6869,s7279
s236,s5841,s478,s867,s5323,s8525,s2308,s3205,s1144,s2448,s5723
s237,s238,s239,s240,s2424,s5996,s1119,s7261,s2440,s1738,s4450
s238,s237,s239,s240,s2424,s5996,s1119,s7261,s2440,s1738,s4450
s239,s237,s238,s240,s2424,s5996,s1119,s7261,s2440,s1738,s4450
s240,s237,s238,s239,s2424,s5996,s1119,s7261,s2440,s1738,s4450
s241,s1469,s2792,s6338,s5347,s5981,s2424,s2096,s8275,s2059,s4008
s242,s4589,s940,s7926,s3539,s8129,s5360,s2405,s883,s1803,s6152
s243,s6378,s8696,s5563,s623,s7813,s6693,s682,s4554,s8475,s4908
s244,s2225,s7534,s3670,s2824,s2444,s4301,s4819,s6186,s7256,s1220
s245,s4820,s1843,s6400,s4946,s3863,s6515,s4389,s2229,s4224,s4044
s246,s3893,s2698,s7658,s314,s2735,s8650,s1222,s8649,s2452,s4401
s247,s4153,s3649,s2044,s196,s4879,s1377,s2207,s6538,s4583,s4619
s248,s1858,s4630,s7402,s2698,s7534,s6573,s7350,s7863,s2023,s6775
s249,s5367,s3750,s4088,s2524,s2349,s4226,s4168,s3869,s6371,s4488
s250,s356,s3710,s3399,s2679,s3316,s1448,s8064,s5412,s5440,s3893
s251,s1498,s7364,s3819,s5071,s7065,s1380,s2187,s5402,s1579,s453
s252,s4078,s902,s3348,s8145,s7624,s3681,s2644,s3889,s6245,s4538
s253,s4120,s2411,s8266,s7007,s7314,s4979,s4175,s5353,s8575,s966
s254,s2579,s4324,s4905,s8553,s3630,s304,s6706,s6789,s6829,s4981
s255,s24,s2580,s6405,s3910,s235,s1170,s3954,s1978,s4525,s1636
s256,s569,s3935,s3485,s1140,s6931,s1147,s1644,s4376,s6394,s3544
s257,s6771,s3949,s554,s1593,s2969,s4919,s2345,s6045,s6761,s3920
s258,s5668,s1570,s2341,s5606,s308,s1810,s3308,s8222,s5493,s2983
s259,s8533,s1047,s1837,s268,s4593,s2053,s2002,s5533,s2329,s6085
s260,s4583,s6698,s4039,s1598,s1115,s3107,s5015,s4570,s5310,s3344
s261,s8013,s4183,s7668,s7744,s6286,s8567,s4551,s8630,s4806,s4709
s262,s1632,s1404,s1097,s3595,s4849,s1603,s3863,s3111,s8163,s4935
s263,s678,s2276,s2017,s4852,s8135,s193,s5347,s3220,s3425,s5986
s264,s786,s812,s3678,s2665,s3394,s1372,s5618,s6243,s2079,s4857
s265,s7826,s7635,s6909,s8686,s82,s6001,s8509,s2955,s2618,s2765
s266,s1460,s804,s3877,s460,s3334,s6371,s3240,s6291,s8779,s7490
s267,s1046,s3490,s111,s877,s6650,s7450,s5,s3624,s752,s2894
s268,s3154,s7840,s2456,s259,s6361,s4262,s7466,s1241,s2641,s7863
s269,s7618,s5957,s689,s8392,s4474,s6294,s1603,s7914,s7134,s4528
s270,s6110,s5581,s4066,s3518,s8114,s587,s8804,s6126,s7908,s4873
s271,s359,s7715,s6147,s6381,s6671,s610,s6099,s2945,s1377,s7438
s273,s4004,s2820,s4680,s3042,s2906,s2364,s8672,s6634,s544,s6922
s274,s7191,s314,s697,s3458,s3686,s8762,s3840,s3715,s6519,s6992
s275,s2055,s4379,s4085,s7710,s515,s6372,s481,s2932,s4444,s4846
s276,s2094,s3474,s3981,s3352,s2388,s8099,s3990,s3167,s7794,s6662
s277,s4475,s3815,s6884,s2010,s8373,s4028,s3634,s4056,s1547,s5773
s278,s1103,s6579,s2104,s6124,s6246,s804,s7549,s182,s1063,s618
s279,s5918,s3941,s1762,s8437,s3459,s5478,s8334,s3193,s8548,s6252
s280,s81,s891,s5982,s6761,s1335,s6522,s1433,s8272,s1169,s5442
s281,s3379,s5544,s3242,s3378,s4228,s2238,s2033,s849,s2190,s5284
s282,s2667,s2131,s1249,s7586,s3483,s8073,s1837,s5521,s1200,s7919
s283,s3163,s201,s3656,s8012,s7834,s1232,s5223,s7527,s8650,s2900
s284,s6727,s2305,s4919,s5085,s4620,s6283,s1706,s6162,s1243,s3224
s285,s2214,s7199,s824,s8236,s4412,s6532,s3830,s655,s2983,s484
s286,s7538,s1512,s787,s2576,s744,s5582,s8292,s5678,s137,s2366
s287,s235,s5393,s3540,s6434,s3029,s7650,s2081,s5909,s2967,s1396
s288,s7640,s2023,s7826,s507,s1262,s8592,s8520,s2426,s2235,s3782
s289,s3824,s124,s7868,s802,s1159,s617,s5844,s8785,s5273,s7653
s290,s7829,s1996,s6645,s8153,s1125,s1084,s1682,s4383,s3134,s2843
s291,s7614,s2806,s6687,s5869,s4638,s1012,s999,s7355,s3419,s7239
s292,s3875,s1906,s7973,s3767,s1248,s4269,s2768,s1532,s5485,s7788
s293,s6243,s7698,s7491,s1516,s3709,s7034,s1233,s2747,s8710,s1202
s294,s1937,s4623,s1259,s7183,s2390,s8325,s8626,s3745,s1835,s1709
s295,s4764,s5274,s1412,s4053,s2380,s1248,s5110,s727,s7846,s4313
s296,s7391,s6904,s8304,s6434,s815,s28,s7348,s5858,s574,s2476
s297,s5080,s7007,s1067,s2871,s900,s3303,s4666,s4622,s8000,s7702
s298,s1368,s2075,s2575,s6745,s2109,s7564,s7234,s1066,s6138,s1813
s299,s195,s2049,s4283,s7717,s2437,s1586,s2467,s6468,s2016,s8298
s300,s912,s624,s1380,s3511,s3056,s3835,s3141,s2014,s7371,s6270
s301,s8132,s6824,s3665,s8125,s3321,s4656,s3264,s3844,s4388,s7386
s302,s3052,s2361,s6208,s6366,s7438,s7683,s2484,s27,s1527,s4212
s303,s8593,s5346,s2603,s3872,s7301,s8266,s8448,s3733,s5648,s6503
s304,s6706,s7349,s3253,s7388,s3630,s254,s1982,s2736,s5731,s2521
s306,s8012,s2623,s4570,s1426,s3352,s5475,s1437,s155,s8709,s6005
s307,s3526,s3714,s1900,s1934,s4187,s4617,s860,s8022,s4006,s2135
s308,s1119,s6300,s19,s4125,s1810,s6654,s5089,s6093,s3078,s7362
s309,s21,s5105,s2946,s7518,s8289,s1230,s2550,s8804,s794,s2171
s310,s6773,s3929,s1311,s8712,s8692,s8098,s3478,s4174,s6738,s2972
s311,s3788,s2922,s943,s5306,s382,s1243,s319,s4637,s4779,s2518
s312,s4105,s5382,s3315,s3327,s1068,s8547,s2231,s1374,s2492,s2445
s313,s6234,s2447,s7365,s66,s4325,s8586,s7936,s5808,s2808,s488
s314,s3626,s2422,s6664,s6990,s8772,s8649,s4846,s274,s6067,s8679
s315,s7075,s5818,s6112,s7382,s2323,s214,s2316,s5676,s3979,s1231
s316,s900,s2823,s2925,s2198,s3617,s7868,s3114,s5345,s2852,s4639
s317,s5610,s3807,s7266,s774,s2119,s2280,s1015,s5466,s3832,s2627
s318,s7946,s1691,s4523,s5966,s6375,s3233,s1328,s4463,s3406,s1172
s319,s879,s386,s7084,s5919,s7368,s5176,s880,s918,s1350,s2542
s320,s2775,s6874,s7244,s6887,s5394,s3924,s3792,s2256,s5989,s7388
s321,s7350,s6056,s4440,s8605,s6162,s4928,s2955,s4752,s8277,s6880
s322,s6290,s7544,s7984,s3928,s2023,s2632,s1393,s5231,s2909,s3476
s323,s4719,s7183,s7635,s1945,s5764,s3317,s4780,s8101,s7666,s1245
s324,s1601,s4546,s2174,s4870,s6050,s1165,s4547,s6665,s476,s521
s325,s7381,s3146,s4142,s3521,s1620,s1752,s1546,s8597,s7132,s2897
s326,s2081,s4022,s327,s5442,s5747,s2357,s1377,s4034,s3225,s3155
s327,s326,s1546,s1197,s6894,s1664,s6808,s7741,s741,s8491,s7361
s328,s5808,s4151,s4425,s7540,s6449,s4482,s5828,s169,s8097,s6858
s329,s7639,s6217,s8241,s4288,s8346,s7193,s2293,s4889,s7957,s3220
s330,s7149,s189,s3228,s143,s7866,s5923,s8740,s2215,s5855,s7791
s331,s1695,s7614,s1567,s8265,s4716,s1601,s2292,s843,s8532,s5267
s332,s3927,s396,s3987,s6846,s8560,s3337,s989,s1012,s4144,s3742
s333,s7998,s5576,s7999,s2001,s6954,s8026,s7612,s1438,s3936,s3629
s334,s426,s353,s6995,s8597,s5847,s5737,s1382,s7599,s159,s518
s335,s3292,s3730,s1278,s1359,s8691,s4646,s1799,s549,s6200,s3153
s336,s2945,s682,s8154,s7744,s5140,s8033,s5849,s3855,s4157,s3642
s337,s6804,s3628,s5454,s6825,s5390,s8390,s4432,s8120,s2078,s1331
s338,s2216,s8214,s6012,s7504,s2921,s8225,s38,s6484,s2686,s2504
s339,s2137,s8510,s2972,s5447,s3234,s7408,s8756,s374,s8627,s1817
s340,s5224,s2256,s6597,s4206,s4823,s6873,s3015,s1424,s4273,s8101
s341,s1940,s6305,s6727,s5203,s3797,s1537,s1622,s1360,s4132,s7856
s342,s3286,s7837,s660,s1717,s1083,s2796,s4011,s2639,s6206,s2967
s343,s8708,s7405,s642,s84,s7243,s7340,s3857,s7753,s8047,s4777
s344,s3844,s7540,s5719,s8452,s8226,s2983,s4921,s642,s6301,s8403
s345,s1460,s972,s1913,s6094,s804,s5382,s3761,s8169,s7132,s6306
